time|action|current_phase|next_phase|reward|q_value|co2|fuel|noise|waiting
1|0|0|1|-0.142369|array([[0.5018351, 0.7513651]], dtype=float32)|0.000000|0.000000|0.000000|0.000000
3|0|0|1|-0.077367|array([[0.66248274, 0.98900974]], dtype=float32)|148.364916|1134.327668|66.081471|0.000000
5|0|0|1|0.104998|array([[0.3285091, 0.7489414]], dtype=float32)|0.000000|0.000000|44.143994|0.000000
7|0|0|1|0.000976|array([[0.64097685, 0.7944094 ]], dtype=float32)|161.254631|828.565367|55.450253|0.000000
9|1|0|1|-1.114132|array([[0.6409888 , 0.79439795]], dtype=float32)|164.543852|836.732700|55.870777|0.000775
14|0|1|2|-0.010833|array([[0.6409927 , 0.79439425]], dtype=float32)|164.777778|837.222222|55.940276|0.002713
16|1|1|2|-1.365439|array([[0.64099294, 0.79439396]], dtype=float32)|164.777778|837.222222|55.940276|0.003488
21|0|2|3|-0.225833|array([[0.6409954, 0.7943917]], dtype=float32)|164.777778|837.222222|55.940276|0.005426
23|0|2|3|-0.229167|array([[0.64099574, 0.7943915 ]], dtype=float32)|164.777778|837.222222|55.940276|0.006202
25|0|2|3|-0.232500|array([[0.6409949, 0.7943921]], dtype=float32)|164.777778|837.222222|55.940276|0.006977
27|1|2|3|-1.595833|array([[0.64099514, 0.7943919 ]], dtype=float32)|164.777778|837.222222|55.940276|0.007752
32|0|3|4|-0.244167|array([[0.6409981, 0.794389 ]], dtype=float32)|164.777778|837.222222|55.940276|0.009690
34|0|3|4|-0.247500|array([[0.6409985 , 0.79438865]], dtype=float32)|164.777778|837.222222|55.940276|0.010465
36|0|3|4|-0.393792|array([[0.6409978, 0.7943894]], dtype=float32)|164.777778|837.222222|55.940276|0.011240
38|1|3|4|-1.324224|array([[0.3349265, 0.8118521]], dtype=float32)|312.506434|1921.212492|121.238048|0.012016
43|0|4|5|-0.262500|array([[0.6410012 , 0.79438597]], dtype=float32)|164.777778|837.222222|55.940276|0.013953
45|0|4|5|-0.062500|array([[0.64100075, 0.7943865 ]], dtype=float32)|164.777778|837.222222|55.940276|0.014729
47|0|4|5|-0.309546|array([[0.6410001, 0.794387 ]], dtype=float32)|164.777778|837.222222|55.940276|0.015504
49|1|4|5|-2.081958|array([[0.6421213, 0.7933184]], dtype=float32)|164.777778|837.222222|106.701622|0.016279
54|0|5|6|-0.284996|array([[0.45237514, 0.66607803]], dtype=float32)|329.493997|1674.317817|111.853011|0.019380
56|0|5|6|-0.495000|array([[0.45263264, 0.6661879 ]], dtype=float32)|329.555556|1674.444444|111.875811|0.020930
58|0|5|6|-0.298333|array([[0.4526022, 0.6661718]], dtype=float32)|329.555556|1674.444444|111.880553|0.022481
60|1|5|6|-1.580833|array([[0.4526872, 0.6662155]], dtype=float32)|329.555556|1674.444444|111.880553|0.024031
65|0|6|7|-0.259073|array([[0.32096004, 0.9022951 ]], dtype=float32)|164.777778|837.222222|55.940276|0.005426
67|0|6|7|-0.068954|array([[0.5057155 , 0.68464255]], dtype=float32)|218.136936|2516.207939|177.766506|0.006202
69|0|6|7|-0.240590|array([[0.33987927, 1.0881056 ]], dtype=float32)|301.536969|3183.657276|125.574342|0.006977
71|1|6|7|-1.402412|array([[0.33983088, 1.0880826 ]], dtype=float32)|331.823762|4267.529411|128.293578|0.007752
76|0|7|8|-0.040020|array([[0.30390507, 0.9484574 ]], dtype=float32)|164.777778|1658.090242|120.723255|0.009690
78|1|7|8|-1.415597|array([[0.31463033, 1.0928953 ]], dtype=float32)|229.504024|2731.737615|123.493679|0.010465
83|0|8|0|-0.252890|array([[0.206628 , 1.0666454]], dtype=float32)|172.138439|1859.715577|121.533632|0.012403
85|0|8|0|-0.258821|array([[0.3222695, 0.9141973]], dtype=float32)|164.777778|837.222222|119.516238|0.013178
87|0|8|0|-0.262500|array([[0.3224203, 0.9072955]], dtype=float32)|164.777778|837.222222|55.940276|0.013953
89|1|8|0|-0.993333|array([[0.32244688, 0.90737635]], dtype=float32)|164.777778|837.222222|55.940276|0.014729
94|0|0|1|0.168978|array([[0.5022271, 0.7510409]], dtype=float32)|0.000000|0.000000|0.000000|0.000000
96|0|0|1|-0.028850|array([[0.44973528, 0.700843  ]], dtype=float32)|0.000000|0.000000|56.623793|0.000000
98|0|0|1|0.000000|array([[0.502399 , 0.7506632]], dtype=float32)|0.000000|0.000000|0.000000|0.000000
100|1|0|1|-0.768814|array([[0.5024142, 0.7508012]], dtype=float32)|0.000000|0.000000|0.000000|0.000000
105|0|1|2|0.000000|array([[0.5098197, 0.7520176]], dtype=float32)|0.000000|0.000000|0.000000|0.000000
107|1|1|2|-0.814786|array([[0.50937766, 0.7521099 ]], dtype=float32)|0.000000|0.000000|0.000000|0.000000
112|0|2|3|0.352314|array([[0.3396902 , 0.87102365]], dtype=float32)|146.294653|2468.310641|70.438368|0.000000
114|0|2|3|-0.147579|array([[0.41317514, 0.7606875 ]], dtype=float32)|0.000000|0.000000|47.697510|0.000000
